1960005	Intermarché Contact	INTERMARCHE SAS INDARRA
1960006	ENI	AGIP PERONNAS
1980001	TotalEnergies	cst distribution
2000002	Carrefour	Carrefour Laon
2000003	Carrefour Market	Carrefour Market Christ
2000005	TotalEnergies	GARAGE EUROPE AUTO
2000007	Esso Express	ESSO CARNOT LAON
2000008	Leclerc	LAONDIS
2000009	Intermarché	INTERMARCHE LAON
2000011	TotalEnergies Access	RELAIS CHAMP DU ROY
2000013	Carrefour	SUPECO STATION
2100001	Auchan	AUCHAN Saint-Quentin
2100008	Esso Express	ESSO FAIDHERBE
2100009	Leclerc	LECLERC
2100011	TotalEnergies Access	POREZ AUTO LOCA STATION
2100012	Carrefour	CARREFOUR
2100013	Intermarché	INTERMARCHE SAINT-QUENTIN   /ZAC
2100018	Indépendant sans enseigne	DB Energies
2100019	Intermarché	INTERMARCHE 153 Rue de Mulhouse
2100020	TotalEnergies Access	RELAIS ST QUENTIN CAMILLE GUERIN
2100021	Leclerc	LECLERC
2110002	Intermarché	INTERMARCHE BOHAIN-EN-VERMANDOIS
2120004	Intermarché	INTERMARCHE GUISE
2120005	TotalEnergies	STATION TOTAL FL DISTRIBUTION
2120006	Carrefour Market	CARREFOUR MARKET
2130001	Système U	SUPER U - FERE EN TARDENOIS
2130005	Avia	Aire de tardenois sud
2130006	Avia	avia tardenois nord
2140003	Intermarché	INTERMARCHE VERVINS
2170001	Carrefour Market	Carrefour Market
2190003	Avia	SARL MARCHAND
2190005	Avia	Station AVIA
2190007	Carrefour Market	Carrefour Market
2200001	Carrefour	CARREFOUR SOISSONS
2200007	Esso Express	ESSO SOISSONS
2200008	Esso Express	ESSO VAUXBUIN
2200010	Intermarché	INTERMARCHE BELLEU
2200011	Carrefour Market	Carrefour Market
2200012	Carrefour Contact	SARL JP DISTRI
2200013	TotalEnergies	RELAIS MAUPAS
2200014	TotalEnergies	RELAIS SOISSONS
2200015	TotalEnergies Access	RELAIS SAINTE EUGENIE
2220001	Carrefour Market	Carrefour Market
2230002	Carrefour Market	carrefour market fresnoy
2240001	Intermarché	INTERMARCHE RIBEMONT
2250001	Carrefour Market	Carrefour Market
2250004	TotalEnergies	Station Total
2260001	Carrefour Market	Carrefour Market
2270001	Carrefour Contact	PALN
2280001	Intermarché	INTERMARCHE SAINT-ERME
2290002	Intermarché	INTERMARCHE RESSONS LE LONG
2300001	Auchan	AUCHAN  VIRY  NOUREUIL
2300002	Carrefour Market	Carrefour Market
2300006	Intermarché	INTERMARCHE CHAUNY
2300009	Carrefour Contact	Carrefour Contact
2310001	Système U	SUPER U - CHARLY SUR MARNE
2310002	Avia	Station de l'Ourcq
2320001	Carrefour Market	CARREFOUR MARKET
2320002	Intermarché	INTERMARCHE ANIZY-LE-CHATEAU
2340001	Carrefour Market	Carrefour Market
2340002	Gulf	GULF DIZY LE GROS
2360001	Intermarché Contact	INTERMARCHE CONTACT
2370005	Carrefour Contact	CARREFOUR CONTACT
2380002	TotalEnergies Access	RELAIS CRECY AU MONT
2390002	Indépendant sans enseigne	Origny
2400001	Carrefour	CARREFOUR CHATEAU-THIERRY
2400004	Leclerc	E.LECLERC - SOCADI
2400007	Netto	NETTO
2400008	Avia	AVIA
2420001	TotalEnergies	BELOT
2430001	Intermarché	INTERMARCHE GAUCHY
2450003	Carrefour Contact	CARREFOUR CONTACT
2460003	Carrefour Contact	carrefour contact
